model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec
Qwen/Qwen3-4B,mrpc,16,21,0.71875,0.73046875,0.01171875,38.23387801699573,50.34643090899772,12.112552892001986
Qwen/Qwen3-4B,mrpc,16,42,0.6953125,0.75390625,0.05859375,33.035655100997246,50.358762854993984,17.323107753996737
Qwen/Qwen3-4B,mrpc,32,13,0.71484375,0.75,0.03515625,41.743073919999006,52.039545440995425,10.29647152099642
Qwen/Qwen3-4B,mrpc,32,21,0.67578125,0.7265625,0.05078125,44.65652245900128,53.075147040006414,8.418624581005133
Qwen/Qwen3-4B,mrpc,32,42,0.671875,0.7421875,0.0703125,41.26556522899773,52.32712217700464,11.06155694800691
Qwen/Qwen3-4B,rte,1,13,0.84375,0.796875,-0.046875,30.64105450299394,48.474242887008586,17.833188384014647
Qwen/Qwen3-4B,rte,1,21,0.84765625,0.80859375,-0.0390625,29.892397695999534,48.64765083400562,18.755253138006083
Qwen/Qwen3-4B,rte,1,42,0.86328125,0.80859375,-0.0546875,29.964802495000185,48.792704415995104,18.82790192099492
Qwen/Qwen3-4B,rte,2,13,0.82421875,0.80078125,-0.0234375,30.340970946999732,48.376308554994466,18.035337607994734
Qwen/Qwen3-4B,rte,2,21,0.83203125,0.80859375,-0.0234375,30.065543709999474,48.41402678099985,18.348483071000373
Qwen/Qwen3-4B,rte,2,42,0.83984375,0.8046875,-0.03515625,30.168625824000628,48.97546932601108,18.80684350201045
Qwen/Qwen3-4B,rte,4,13,0.828125,0.796875,-0.03125,30.265967580002325,48.68808298899239,18.422115408990066
Qwen/Qwen3-4B,rte,4,21,0.80859375,0.80859375,0.0,30.649486719004926,48.45913673500763,17.809650016002706
Qwen/Qwen3-4B,rte,4,42,0.828125,0.8046875,-0.0234375,30.40472905599745,49.08747270199092,18.68274364599347
Qwen/Qwen3-4B,rte,8,13,0.8046875,0.80859375,0.00390625,30.949628716996813,49.502819574998284,18.55319085800147
Qwen/Qwen3-4B,rte,8,21,0.84375,0.8125,-0.03125,32.55725725599768,49.58442567700695,17.027168421009264
Qwen/Qwen3-4B,rte,8,42,0.8203125,0.81640625,-0.00390625,33.31206391299929,49.415071795003314,16.10300788200402
Qwen/Qwen3-4B,rte,16,13,0.81640625,0.80859375,-0.0078125,37.52341127899854,50.242944780999096,12.719533502000559
Qwen/Qwen3-4B,rte,16,21,0.82421875,0.8125,-0.01171875,36.35498276299768,50.29543313999602,13.940450376998342
Qwen/Qwen3-4B,rte,16,42,0.796875,0.80859375,0.01171875,37.53322887000104,50.28814493898972,12.754916068988678
Qwen/Qwen3-4B,rte,32,13,0.80859375,0.81640625,0.0078125,46.24129091100622,52.5721379089955,6.330846997989283
Qwen/Qwen3-4B,rte,32,21,0.83984375,0.82421875,-0.015625,47.527155743999174,52.1666241990024,4.639468455003225
Qwen/Qwen3-4B,rte,32,42,0.80859375,0.8203125,0.01171875,45.69529047100514,52.154399762010144,6.4591092910050065
Qwen/Qwen3-4B,trec,1,13,0.6171875,0.5078125,-0.109375,35.55544578500121,54.78966499000671,19.234219205005502
Qwen/Qwen3-4B,trec,1,21,0.58203125,0.47265625,-0.109375,36.76875345000008,55.68447560899949,18.915722158999415
Qwen/Qwen3-4B,trec,1,42,0.5703125,0.46484375,-0.10546875,37.78698384600284,55.362263528993935,17.575279682991095
Qwen/Qwen3-4B,trec,2,13,0.65234375,0.5078125,-0.14453125,35.441794065001886,53.971088417994906,18.52929435299302
Qwen/Qwen3-4B,trec,2,21,0.5625,0.47265625,-0.08984375,35.438554066000506,55.92970766999497,20.491153603994462
Qwen/Qwen3-4B,trec,2,42,0.5703125,0.46484375,-0.10546875,35.38608550700155,54.86573490600131,19.479649398999754
Qwen/Qwen3-4B,trec,4,13,0.6796875,0.515625,-0.1640625,34.720340485000634,54.8376639220005,20.117323436999868
Qwen/Qwen3-4B,trec,4,21,0.66015625,0.46875,-0.19140625,35.18847659900348,56.64202600599674,21.45354940699326
Qwen/Qwen3-4B,trec,4,42,0.66796875,0.453125,-0.21484375,35.5541482089975,56.05624295499729,20.502094745999784
Qwen/Qwen3-4B,trec,8,13,0.7265625,0.515625,-0.2109375,34.31995235400245,55.85354859700601,21.533596243003558
Qwen/Qwen3-4B,trec,8,21,0.7265625,0.4609375,-0.265625,35.17569959899993,57.068210238991014,21.892510639991087
