method,model_id,task,budget,n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,parser_success_min,parser_success_mean,runtime_sec_mean,runtime_sec_sum
ICL,Qwen/Qwen3-4B,mrpc,8,5,0.71796875,0.019609219371892396,0.703125,0.75,1.0,1.0,31.6931798376012,158.465899188006
LoRA,Qwen/Qwen3-4B,mrpc,1,5,0.74375,0.009804609685946198,0.7265625,0.75,1.0,1.0,50.75362373340177,253.76811866700882
LoRA,Qwen/Qwen3-4B,mrpc,16,5,0.7453125,0.009326044051807283,0.73046875,0.75390625,1.0,1.0,52.58654677778977,262.93273388894886
LoRA,Qwen/Qwen3-4B,mrpc,2,5,0.7453125,0.008907620508587016,0.73046875,0.75390625,1.0,1.0,50.88622543880338,254.43112719401688
LoRA,Qwen/Qwen3-4B,mrpc,32,5,0.740625,0.00855816496101822,0.7265625,0.75,1.0,1.0,54.65158753120486,273.2579376560243
LoRA,Qwen/Qwen3-4B,mrpc,4,5,0.7453125,0.008468548198702656,0.73046875,0.75,1.0,1.0,50.93492120519513,254.67460602597566
LoRA,Qwen/Qwen3-4B,mrpc,8,5,0.7453125,0.006418623720763666,0.734375,0.75,1.0,1.0,51.69179695139464,258.4589847569732
ICL,Qwen/Qwen3-4B,rte,0,5,0.809375,0.0032682032286487327,0.8046875,0.8125,1.0,1.0,38.63633570940001,193.18167854700005
ICL,Qwen/Qwen3-4B,rte,1,5,0.84375,0.014084184669781208,0.82421875,0.86328125,1.0,1.0,31.380695336202916,156.90347668101458
ICL,Qwen/Qwen3-4B,rte,16,5,0.815625,0.010839403848055944,0.796875,0.82421875,1.0,1.0,37.851418814601494,189.25709407300747
ICL,Qwen/Qwen3-4B,rte,2,5,0.83203125,0.0078125,0.82421875,0.83984375,1.0,1.0,31.420566159597364,157.10283079798683
ICL,Qwen/Qwen3-4B,rte,32,5,0.83046875,0.02096313728906053,0.80859375,0.85546875,1.0,1.0,47.2736320044045,236.3681600220225
