model_id,task,budget,seed,icl_accuracy,lora_accuracy,lora_minus_icl_accuracy,icl_runtime_sec,lora_runtime_sec,lora_minus_icl_runtime_sec,lora_train_runtime_sec,lora_inference_runtime_sec,lora_model_load_sec
Qwen/Qwen3-0.6B,trec,4,42,0.44921875,0.17578125,-0.2734375,27.571068417000788,37.12212767899837,9.55105926199758,0.36526662899996154,36.36665576199812,0.3902052880002884
Qwen/Qwen3-0.6B,trec,4,55,0.3125,0.1796875,-0.1328125,30.477237525978126,40.36177840002347,9.884540874045342,0.3835743090021424,39.42781256901799,0.5503915220033377
Qwen/Qwen3-0.6B,trec,8,7,0.4375,0.21484375,-0.22265625,28.72536933099036,40.734417380037485,12.009048049047124,0.7561717900098301,39.44446757400874,0.5337780160189141
Qwen/Qwen3-0.6B,trec,8,13,0.55078125,0.203125,-0.34765625,27.3307936300007,37.02190707699992,9.691113446999225,0.69902338799875,35.92389950100187,0.3989841879993037
Qwen/Qwen3-0.6B,trec,8,21,0.5625,0.18359375,-0.37890625,26.78482485799759,38.70307621300162,11.918251355004031,0.6998946249987057,37.61349849800172,0.38968309000119916
Qwen/Qwen3-0.6B,trec,8,42,0.46875,0.17578125,-0.29296875,27.514094636000664,37.67563171499933,10.161537078998663,0.7024640529998578,36.57012782899983,0.40303983299963875
Qwen/Qwen3-0.6B,trec,8,55,0.55078125,0.1875,-0.36328125,29.011943298013648,40.74738977997913,11.735446481965482,0.7613149079843424,39.44783495599404,0.538239916000748
Qwen/Qwen3-0.6B,trec,16,7,0.5078125,0.24609375,-0.26171875,29.39851020698552,40.88025861699134,11.481748410005821,1.5047341099998448,38.85597728099674,0.5195472259947564
Qwen/Qwen3-0.6B,trec,16,13,0.55859375,0.22265625,-0.3359375,26.453767520000838,37.45592145799674,11.0021539379959,1.404331629997614,35.66393842999969,0.38765139799943427
Qwen/Qwen3-0.6B,trec,16,21,0.46875,0.2109375,-0.2578125,25.704051460998016,38.88122185999964,13.177170399001625,1.4164702899979602,37.07323706700117,0.39151450300050783
