model_id,task,method,budget,n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,parser_success_min,parser_success_mean
Qwen/Qwen3-4B,mrpc,LoRA,1,3,0.7408854166666666,0.012556836928376244,0.7265625,0.75,1.0,1.0
Qwen/Qwen3-4B,mrpc,LoRA,16,3,0.7447916666666666,0.012556836928376244,0.73046875,0.75390625,1.0,1.0
Qwen/Qwen3-4B,mrpc,LoRA,2,3,0.7421875,0.010334966058846057,0.73046875,0.75,1.0,1.0
Qwen/Qwen3-4B,mrpc,LoRA,32,3,0.7395833333333334,0.011933790872280834,0.7265625,0.75,1.0,1.0
Qwen/Qwen3-4B,mrpc,LoRA,4,3,0.7434895833333334,0.01127637244510988,0.73046875,0.75,1.0,1.0
Qwen/Qwen3-4B,mrpc,LoRA,8,3,0.7434895833333334,0.008131507810414582,0.734375,0.75,1.0,1.0
Qwen/Qwen3-4B,rte,ICL,0,3,0.8072916666666666,0.0022552744890219755,0.8046875,0.80859375,1.0,1.0
Qwen/Qwen3-4B,rte,ICL,1,3,0.8515625,0.010334966058846057,0.84375,0.86328125,1.0,1.0
Qwen/Qwen3-4B,rte,ICL,16,3,0.8125,0.014084184669781208,0.796875,0.82421875,1.0,1.0
Qwen/Qwen3-4B,rte,ICL,2,3,0.83203125,0.0078125,0.82421875,0.83984375,1.0,1.0
Qwen/Qwen3-4B,rte,ICL,32,3,0.8190104166666666,0.018042195912175804,0.80859375,0.83984375,1.0,1.0
Qwen/Qwen3-4B,rte,ICL,4,3,0.8216145833333334,0.01127637244510988,0.80859375,0.828125,1.0,1.0
Qwen/Qwen3-4B,rte,ICL,8,3,0.8229166666666666,0.019661027175184243,0.8046875,0.84375,1.0,1.0
Qwen/Qwen3-4B,rte,LoRA,1,3,0.8046875,0.0067658234670659265,0.796875,0.80859375,1.0,1.0
Qwen/Qwen3-4B,rte,LoRA,16,3,0.8098958333333334,0.0022552744890219755,0.80859375,0.8125,1.0,1.0
Qwen/Qwen3-4B,rte,LoRA,2,3,0.8046875,0.00390625,0.80078125,0.80859375,1.0,1.0
Qwen/Qwen3-4B,rte,LoRA,32,3,0.8203125,0.00390625,0.81640625,0.82421875,1.0,1.0
Qwen/Qwen3-4B,rte,LoRA,4,3,0.8033854166666666,0.005966895436140417,0.796875,0.80859375,1.0,1.0
Qwen/Qwen3-4B,rte,LoRA,8,3,0.8125,0.00390625,0.80859375,0.81640625,1.0,1.0
Qwen/Qwen3-4B,sst2,ICL,0,3,0.91796875,0.01171875,0.90625,0.9296875,0.99609375,0.9973958333333334
Qwen/Qwen3-4B,sst2,ICL,1,3,0.91796875,0.014084184669781208,0.90625,0.93359375,0.99609375,0.9986979166666666
Qwen/Qwen3-4B,sst2,ICL,16,3,0.9205729166666666,0.009021097956087902,0.91015625,0.92578125,1.0,1.0
Qwen/Qwen3-4B,sst2,ICL,2,3,0.9166666666666666,0.0022552744890219755,0.9140625,0.91796875,0.99609375,0.9986979166666666
Qwen/Qwen3-4B,sst2,ICL,32,3,0.9205729166666666,0.009021097956087902,0.91015625,0.92578125,1.0,1.0
Qwen/Qwen3-4B,sst2,ICL,4,3,0.9140625,0.0067658234670659265,0.91015625,0.921875,0.99609375,0.9986979166666666
Qwen/Qwen3-4B,sst2,ICL,8,3,0.9205729166666666,0.009021097956087902,0.91015625,0.92578125,1.0,1.0
Qwen/Qwen3-4B,sst2,LoRA,1,3,0.9114583333333334,0.009830513587592123,0.90234375,0.921875,0.99609375,0.99609375
Qwen/Qwen3-4B,sst2,LoRA,16,3,0.9166666666666666,0.013718299157360338,0.90234375,0.9296875,0.99609375,0.9973958333333334
Qwen/Qwen3-4B,sst2,LoRA,2,3,0.9114583333333334,0.013718299157360338,0.8984375,0.92578125,0.99609375,0.99609375
Qwen/Qwen3-4B,sst2,LoRA,32,3,0.9153645833333334,0.011933790872280834,0.90234375,0.92578125,0.99609375,0.9973958333333334
Qwen/Qwen3-4B,sst2,LoRA,4,3,0.91015625,0.015625,0.89453125,0.92578125,0.99609375,0.99609375
Qwen/Qwen3-4B,sst2,LoRA,8,3,0.9140625,0.01171875,0.90234375,0.92578125,0.99609375,0.99609375
Qwen/Qwen3-4B,trec,ICL,0,3,0.4739583333333333,0.027713276892959327,0.44921875,0.50390625,1.0,1.0
